記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
038,trend,038_trend_brewing-coffee.md,| 粉に挽いて保存 | **約2週間** |,| 粉に挽いて保存 | **約1〜2週間**（メーカーにより「7〜10日」とする案内もあります） |,UCCは開封後の目安を「粉なら7〜10日程度、豆なら30日程度」と案内しており、「約2週間」は各社案内の幅の上限寄り。豆の約1か月は各社の案内とおおむね一致する。,https://mystyle.ucc.co.jp/magazine/a_3002/; https://www.keycoffee.co.jp/experience/knowledge/detail/coffee-storage-period/,jr_006,,
040,wisdom,040_wisdom_the-rainy-season.md,"- Ministry of Agriculture, Forestry and Fisheries — rice cultivation   https://www.maff.go.jp/j/seisan/kikaku/","- Ministry of Agriculture, Forestry and Fisheries — rice cultivation (replace with the specific MAFF page before publication)",同じURLが043_trend_storing-rice.mdでは「米に関する情報」の出典として使われている汎用パスで、稲作と梅雨の関係を示す資料ページではない。,https://www.maff.go.jp/j/heya/kodomo_sodan/0006/01.html,jr_006,,
041,fashion,041_fashion_indoor-drying.md,2011年、花王の調査により、部屋干し臭の原因が**モラクセラ菌の代謝物**であることが特定されました。,2011年、花王と愛知学院大学（河村好章教授）の共同研究により、部屋干し臭の原因が**モラクセラ菌の代謝物**であることが特定されました（日本農芸化学会2011年度大会で発表）。,この研究は花王単独ではなく愛知学院大学との共同研究で、日本農芸化学会2011年度大会（2011年3月）で発表されたもの。,https://www.nikkei.com/article/DGKDASGG2800A_Z10C11A6TJM000/; https://news.e-expo.net/release/2011/05/post-170-25.html/,jr_006,,
041,fashion,041_fashion_indoor-drying.md,衣類が湿ったままだと**約5時間で増殖が始まる**とされています。,衣類が湿ったままだと**約5時間で増殖が進む**とされています（この「5時間」は生活情報で広く使われている目安で、上記の2011年の研究で示された数値ではありません）。,「5時間」は複数の生活情報メディアが用いる目安。花王・愛知学院大学の2011年発表には含まれておらず、前段の研究の結論と読み違えられる並びになっている。,https://at-living.press/life/29349/; https://www.kao.com/jp/qa/detail/15871/,jr_006,,
041,fashion,041_fashion_indoor-drying.md,- 花王株式会社（部屋干し臭の原因に関する研究、2011年）   https://www.kao.com/jp/,- 花王株式会社・愛知学院大学（部屋干し臭の原因菌に関する研究、日本農芸化学会2011年度大会 2011年発表）   https://www.kao.com/jp/qa/detail/15871/,現行URLは花王のコーポレートトップで、参照している研究の資料ページではない。花王公式では製品Q&Aのニオイ対策ページが対応する公開情報。,https://www.kao.com/jp/qa/detail/15871/; https://www.nikkei.com/article/DGKDASGG2800A_Z10C11A6TJM000/,jr_006,,
043,trend,043_trend_storing-rice.md,- 農林水産省 米に関する情報   https://www.maff.go.jp/j/seisan/kikaku/,- 農林水産省 米に関する情報（米の生産・消費に関する統計・資料ページ。公開前に該当ページの正確なURLに差し替えてください）,https://www.maff.go.jp/j/seisan/kikaku/ は「米に関する情報」の固有ページではない汎用パスで、040_wisdom_the-rainy-season.md では同じURLが「稲作」の出典として使われている。同一URLが別テーマの出典として重複しており、本文と対応していない可能性が高い。,https://www.maff.go.jp/j/heya/kodomo_sodan/0006/01.html,jr_006,,
046,beauty,046_beauty_toner.md,量を増やしても、蒸発する量は変わりません。**回数より、その後の工程です。**,量を増やしても、蒸発する量は変わりません。**量より、その後の工程です。**,見出しは「たっぷり使うほどよい」＝使用量の話だが、結論の太字は「回数」になっており記事内で対象がずれている（内部の不整合）。,,jr_007,,
046,beauty,046_beauty_toner.md,直後の感触は、角層が一時的に水分を含んだ状態です。**感触＝結果ではありません。** 化粧品として表示できる効能は、厚生労働省の通知で56項目に限定されています。,直後の感触は、角層が一時的に水分を含んだ状態です。**感触＝結果ではありません。** 化粧品として表示できる効能は、厚生労働省の通知で56項目に限定されており、56番目の「乾燥による小ジワを目立たなくする」は効能評価試験を行った場合にのみ表示できます。,薬食発0721第1号（平成23年7月21日）で56項目目「乾燥による小ジワを目立たなくする。」が追加されたが、この項目は効能評価試験済みであることが表示の条件とされている。56項目という数自体は正しい。,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20111.pdf; https://www.mhlw.go.jp/web/t_doc?dataId=00tb7518&dataType=1&pageNo=,jr_007,,
047,health,047_health_bath-vs-shower.md,> 【要検証】数値は消費者庁の注意喚起に基づきます。**公開前に原文と最新年のデータを確認してください。**,> 【要検証】数値は消費者庁の注意喚起および厚生労働省「人口動態統計」に基づきます。**公開前に原文と最新年（令和6年確定数）のデータを確認してください。**,浴槽での溺死・溺水の実数は消費者庁ではなく厚生労働省「人口動態統計」が一次出典。令和6年確定数も公表済み。,https://www.e-stat.go.jp/dbview?sid=0003411652,jr_007,,
048,trend,048_trend_storing-bread.md,一方、**冷凍**では老化しやすい温度帯を素早く通過して止まるため、正しく冷凍すれば**焼きたてに近い状態を約1か月保てる**とされています。,一方、**冷凍**では老化しやすい温度帯を素早く通過して止まるため、正しく冷凍すれば**焼きたてに近い状態を2週間〜1か月ほど保てる**とされています。,家庭の冷凍庫での目安は資料により2週間〜1か月と幅があり、製パン各社（敷島製パン等）は開け閉めの多い家庭用冷凍庫では2週間以内を推奨している。「約1か月」と一律に書くと断定が強すぎる。,https://faq.pasconet.co.jp/faq/show/76; https://www.nihon-kashi.ac.jp/campuslife/blog/13859/,jr_007,,
048,trend,048_trend_storing-bread.md,この老化が**最も進みやすい温度帯が0〜5℃付近**（資料によっては2〜4℃）とされています。**冷蔵室（約2〜5℃）は、パンにとって最悪の温度帯**です。,この老化が**最も進みやすい温度帯が0〜5℃付近**（資料によっては0〜4℃）で、水分含量が30〜60%のときに最も速く進むとされています。**冷蔵室（約2〜5℃）は、パンにとって不向きな温度帯**です。,でん粉の老化は水分含量30〜60%・0〜4℃付近で最も速く進行するとされ、下限は0℃付近。「2〜4℃」という記載は一般的な資料の記述（0〜4℃）とずれている。,https://www.flour.co.jp/news/article/273/; https://www.alic.go.jp/joho-s/joho07_003263.html,jr_007,,
051,beauty,051_beauty_sunscreen.md,- 気象庁 紫外線情報   https://www.data.jma.go.jp/gmd/env/uvhp/,- 気象庁「紫外線（UVインデックス）情報」   https://www.data.jma.go.jp/env/uvindex/,気象庁サイト再編で /gmd/ プレフィックスは廃止。現行の紫外線情報トップは data.jma.go.jp/env/uvindex/（解説・過去データは /env/uvhp/info_uv.html）。,https://www.data.jma.go.jp/env/uvindex/; https://www.data.jma.go.jp/env/uvhp/info_uv.html,jr_008,,
051,beauty,051_beauty_sunscreen.md,- 日本化粧品工業会（紫外線防止用化粧品の測定基準・表示に関する情報）   https://www.jcia.org/,- 日本化粧品工業会「SPF測定法基準」／「紫外線防止」   https://www.jcia.org/user/business/guideline/spf,本文の2mg/cm²・PA表示の根拠は同会サイトのトップではなく「SPF測定法基準」「紫外線防止」ページ。読者・校閲者が該当記述に到達できるよう直接ページを指すべき。団体名（2024年に日本化粧品工業連合会から改称）は現行名で正しい。,https://www.jcia.org/user/business/guideline/spf; https://www.jcia.org/user/business/guideline/uvprotection,jr_008,,
051,beauty,051_beauty_sunscreen.md,- SPF・PAの値は、国際的に定められた試験法に基づき、**皮膚1cm²あたり2mg（または2μL）**を塗って測定されます。,- SPF・PAの値は、国際規格（SPFは**ISO 24444**、UVA防御のPAは**ISO 24442**）に基づき、**皮膚1cm²あたり2mg（または2μL）**を塗って測定されます。,2mg/cm²の塗布量はISO 24444（SPF）およびISO 24442（UVA/PFA）の試験条件。日本化粧品工業会はこれらを自主基準として採用しており、規格名を明示できる。,https://www.jcia.org/user/business/guideline/spf; https://webdesk.jsa.or.jp/books/W11M0090/index/?bunsyo_id=ISO+24444:2019/Amd+1:2022,jr_008,,
